word,root,affix,side,zipf,comp
unread,read,un,prefix,2.71,0.37961503863334656
massive,mass,ive,suffix,4.72,0.3796302378177643
underbelly,belly,under,prefix,2.74,0.3800083100795746
undress,dress,un,prefix,2.87,0.38009732961654663
unfaithful,faithful,un,prefix,3.07,0.3802800476551056
selective,select,ive,suffix,3.88,0.38047438859939575
restated,stated,re,prefix,2.67,0.38074198365211487
redirect,direct,re,prefix,3.21,0.38096779584884644
augmentation,augment,ation,suffix,3.05,0.3811447024345398
reconnected,connected,re,prefix,2.68,0.3813495635986328
closeness,close,ness,suffix,3.14,0.38158702850341797
hurtful,hurt,ful,suffix,3.3,0.3818111717700958
unspecified,specified,un,prefix,3.3,0.38186711072921753
realignment,alignment,re,prefix,2.87,0.38213568925857544
leftist,left,ist,suffix,3.63,0.3821462094783783
intellectualism,intellectual,ism,suffix,2.5,0.382420152425766
banishment,banish,ment,suffix,2.76,0.38254833221435547
dizziness,dizzy,ness,suffix,3.11,0.3826102912425995
resellers,sellers,re,prefix,2.67,0.38312429189682007
ungrateful,grateful,un,prefix,3.33,0.38333091139793396
disappointment,disappoint,ment,suffix,4.01,0.3836195468902588
unfocused,focused,un,prefix,2.53,0.3838866055011749
uninspiring,inspiring,un,prefix,2.55,0.38389214873313904
disengaged,engaged,dis,prefix,2.82,0.384075790643692
resupply,supply,re,prefix,2.88,0.3841659128665924
undercutting,cutting,under,prefix,2.57,0.38418927788734436
redrawn,drawn,re,prefix,2.62,0.3847026824951172
tightness,tight,ness,suffix,2.96,0.3849363327026367
undone,done,un,prefix,3.37,0.3849486708641052
vigorous,vigor,ous,suffix,3.46,0.3849537670612335
reorganized,organized,re,prefix,3.0,0.3852089047431946
disbelieve,believe,dis,prefix,2.51,0.3853907287120819
undetermined,determined,un,prefix,2.89,0.385485976934433
uncomfortably,comfortably,un,prefix,3.0,0.38581815361976624
graceful,grace,ful,suffix,3.39,0.386142373085022
foreskin,skin,fore,prefix,2.72,0.3861677050590515
reconnecting,connecting,re,prefix,2.6,0.38650959730148315
universality,universal,ity,suffix,2.73,0.38676509261131287
contemptible,contempt,ible,suffix,2.55,0.3869122862815857
unclean,clean,un,prefix,3.06,0.3873499929904938
clueless,clue,less,suffix,3.5,0.3874642848968506
corrective,correct,ive,suffix,3.29,0.3876090943813324
reauthorization,authorization,re,prefix,2.54,0.3876098394393921
overprotective,protective,over,prefix,2.66,0.3879481852054596
childless,child,less,suffix,3.06,0.3882480561733246
misappropriation,appropriation,mis,prefix,2.6,0.38840267062187195
sportsmanship,sportsman,ship,suffix,3.01,0.38897979259490967
recast,cast,re,prefix,2.94,0.389122873544693
resolves,solves,re,prefix,3.13,0.38924065232276917
refills,fills,re,prefix,2.74,0.3895988464355469
interconnection,connection,inter,prefix,2.83,0.38966938853263855
spiritualism,spiritual,ism,suffix,2.58,0.3899002969264984
undertakes,takes,under,prefix,2.95,0.3899117410182953
kingship,king,ship,suffix,2.75,0.3899214565753937
murderous,murder,ous,suffix,3.37,0.3901046812534332
overtones,tones,over,prefix,2.92,0.3906874656677246
underweight,weight,under,prefix,2.83,0.3908330798149109
enlargement,enlarge,ment,suffix,3.2,0.3908529281616211
unforgiving,forgiving,un,prefix,2.95,0.3911985158920288
overflows,flows,over,prefix,2.65,0.39133521914482117
transports,ports,trans,prefix,3.29,0.39135926961898804
tasteful,taste,ful,suffix,3.0,0.3916049301624298
idealism,ideal,ism,suffix,3.1,0.3916833698749542
recharging,charging,re,prefix,2.65,0.3921610116958618
unlock,lock,un,prefix,3.9,0.392511248588562
undervalued,valued,under,prefix,2.91,0.392560750246048
attachment,attach,ment,suffix,3.88,0.3929290771484375
overgrown,grown,over,prefix,3.12,0.3930458724498749
distasteful,tasteful,dis,prefix,2.99,0.39328867197036743
unplayable,playable,un,prefix,2.58,0.39333367347717285
remastered,mastered,re,prefix,3.23,0.39356204867362976
reprocessing,processing,re,prefix,2.61,0.3937806189060211
researching,searching,re,prefix,3.63,0.39379051327705383
unblocked,blocked,un,prefix,2.59,0.3943323791027069
superiority,superior,ity,suffix,3.59,0.39439404010772705
antimatter,matter,anti,prefix,2.64,0.39445775747299194
vitality,vital,ity,suffix,3.41,0.39446622133255005
misconception,conception,mis,prefix,3.22,0.3945419192314148
socialize,social,ize,suffix,3.16,0.3948478698730469
criticism,critic,ism,suffix,4.49,0.39486250281333923
multimillion,million,multi,prefix,2.82,0.3948664665222168
predictable,predict,able,suffix,3.76,0.39488479495048523
modality,modal,ity,suffix,2.81,0.39510732889175415
unresponsive,responsive,un,prefix,2.99,0.39516881108283997
redoing,doing,re,prefix,2.54,0.39534494280815125
underclass,class,under,prefix,2.62,0.39534851908683777
interactive,interact,ive,suffix,4.06,0.3953958749771118
overused,used,over,prefix,2.77,0.39567553997039795
unappreciated,appreciated,un,prefix,2.58,0.39568445086479187
underlies,lies,under,prefix,2.68,0.3956853449344635
overflowing,flowing,over,prefix,3.23,0.3957863450050354
miscalculated,calculated,mis,prefix,2.5,0.39637506008148193
